,Act_id,Act_name
144,144,Dame May Whitty
145,145,Clara Bow
146,146,"Charles ""Buddy"" Rogers"
147,147,Richard Arlen
148,148,Jobyna Ralston
149,149,Cillian Murphy
150,150,Emily Blunt
151,151,Robert Downey Jr.
152,152,Matt Damon
153,153,Frances McDormand
154,154,David Strathairn
155,155,Linda May
156,156,Swankie
157,157,Tommy Lee Jones
158,158,Javier Bardem
159,159,Josh Brolin
160,160,Woody Harrelson
161,161,Jack Nicholson
162,162,Louise Fletcher
163,163,Brad Dourif
164,164,William Redfield
165,165,Paul Newman
166,166,Robert Redford
167,167,Robert Shaw
168,168,Charles Durning
169,169,Maureen O'Hara
170,170,Roddy McDowall
171,171,Donald Crisp
172,172,Sally Hawkins
173,173,Michael Shannon
174,174,Richard Jenkins
175,175,Octavia Spencer
176,176,Joseph Fiennes
177,177,Gwyneth Paltrow
178,178,Judi Dench
179,179,Natalie Wood
180,180,Richard Beymer
181,181,Russ Tamblyn
182,182,George Chakiris
183,183,Sylvester Stallone
184,184,Talia Shire
185,185,Burgess Meredith
186,186,Burt Young
187,187,Paul Muni
188,188,Joseph Schildkraut
189,189,Gale Sondergaard
190,190,Gloria Holden
191,191,Zach Galifianakis
192,192,Ed Norton
193,193,Andrea Riseborough
194,194,Dev Patel
195,195,Freida Pinto
196,196,Madhur Mittal
197,197,Anil Kapoor
198,198,Leonardo DiCaprio
199,199,Mark Wahlberg
200,200,George C. Scott
201,201,Michael Bates
202,202,Edward Binns
203,203,Hilary Swank
204,204,Vivien Leigh
205,205,Leslie Howard
206,206,Olivia de Havilland
207,207,Ron Moody
208,208,Oliver Reed
209,209,Mark Lester
210,210,Shani Wallis
211,211,F. Murray Abraham
212,212,Tom Hulce
213,213,Jeffrey Jones
214,214,Elizabeth Berridge
215,215,Tom Berenger
216,216,Willem Dafoe
217,217,Charlie Sheen
218,218,Forest Whitaker
219,219,Dustin Hoffman
220,220,Jon Voight
221,221,Sylvia Miles
222,222,John McGiver
223,223,Candice Bergen
224,224,Edward Fox
225,225,John Gielgud
226,226,Donald Sutherland
227,227,Timothy Hutton
228,228,Mary Tyler Moore
229,229,Judd Hirsch
230,230,Meryl Streep
231,231,Justin Henry
232,232,Jane Alexander
233,233,Paul Scofield
234,234,Orson Welles
235,235,Wendy Hiller
236,236,Kate Winslet
237,237,Billy Zane
238,238,Kathy Bates
239,239,Tom Cruise
240,240,Valeria Golino
241,241,Gerald R. Molen
242,242,Burt Lancaster
243,243,Montgomery Clift
244,244,Deborah Kerr
245,245,Frank Sinatra
246,246,Maurice Chevalier
247,247,Louis Jourdan
248,248,Hermione Gingold
249,249,Kevin Spacey
250,250,Annette Bening
251,251,Thora Birch
252,252,Wes Bentley
253,253,Kevin Costner
254,254,Mary McDonnell
255,255,Graham Greene
256,256,Rodney A. Grant
257,257,Greta Garbo
258,258,Joan Crawford
259,259,John Barrymore
260,260,Wallace Beery
261,261,Catherine Zeta-Jones
262,262,Renée Zellweger
263,263,Richard Gere
264,264,Queen Latifah
265,265,Christopher Walken
266,266,John Savage
267,267,John Cazale
268,268,John Lone
269,269,Joan Chen
270,270,Ying Ruocheng
271,271,Juliette Binoche
272,272,Kristin Scott Thomas
273,273,Jessica Tandy
274,274,Dan Aykroyd
275,275,Patti LuPone
276,276,Charlton Heston
277,277,Stephen Boyd
278,278,Haya Harareet
279,279,Ben Cross
280,280,Ian Charleson
281,281,Nigel Havers
282,282,Julie Andrews
283,283,Christopher Plummer
284,284,Eleanor Parker
285,285,Richard Haydn
286,286,Debra Winger
287,287,Jeff Daniels
288,288,Gregory Peck
289,289,Dorothy McGuire
290,290,John Garfield
291,291,Albert Finney
292,292,Susannah York
293,293,Hugh Griffith
294,294,Edith Evans
295,295,Russell Crowe
296,296,Joaquin Phoenix
297,297,Connie Nielsen
298,298,Linda Cardellini
299,299,Sebastian Maniscalco
300,300,Tom Hanks
301,301,Robin Wright
302,302,Gary Sinise
303,303,Mykelti Williamson
304,304,Mel Gibson
305,305,Sophie Marceau
306,306,Patrick McGoohan
307,307,Catherine McCormack
308,308,Sandra Bullock
309,309,Don Cheadle
310,310,Matt Dillon
311,311,Jennifer Esposito
312,312,Ed Harris
313,313,Jennifer Connelly
314,314,Paul Bettany
315,315,Bing Crosby
316,316,Barry Fitzgerald
317,317,Rise Stevens
318,318,Gene Lockhart
319,319,David Niven
320,320,Mario Moreno 'Cantinflas'
321,321,Robert Newton
322,322,William Powell
323,323,Luise Rainer
324,324,Frank Morgan
325,325,Diana Wynyard
326,326,Clive Brook
327,327,Una O'Connor
328,328,Klaus Maria Brandauer
329,329,Michael Kitchen
330,330,Betty Hutton
331,331,Cornel Wilde
332,332,Dorothy Lamour
333,333,Richard Dix
334,334,Irene Dunne
335,335,Estelle Taylor
336,336,Nance O'Neil
337,337,Bessie Love
338,338,Anita Page
339,339,Charles King
340,340,Jed Prouty
